"LATITUDE","LONGITUDE","STATION","STRATUM","YEAR","DATETIME","BOT_DEPTH","BOT_TEMP","SURF_TEMP","VESSEL","CRUISE","HAUL","AREA_SWEPT_HA","DURATION_HR","DISTANCE_FISHED_KM"
57.015,-160.95167,"G-12",31,1982,"07-JUN-1982 12:00PM",66,-0.3,3.5,1,80,871,4.4482,0.5,2.685
56.982,-160.33467,"G-13",31,1982,"01-JUN-1982 11:00AM",62,0.2,0.4,19,106,4209,4.6577,0.5,2.834
56.99333,-159.72333,"G-14",10,1982,"05-JUN-1982 10:00AM",59,0.4,0.8,1,80,862,4.4179,0.5,2.685
57.00467,-159.09633,"G-15",10,1982,"31-MAY-1982 07:00PM",29,0.3,0.7,19,106,4207,4.0173,0.5,2.5
57.01283,-168.34083,"G-18",32,1982,"30-JUN-1982 06:00PM",73,3.1,6.6,1,80,951,4.4899,0.5,2.685
56.98,-168.99567,"G-19",32,1982,"02-JUL-1982 05:00PM",79,3.5,6.4,19,106,4294,4.3839,0.5,2.611
57.015,-169.52283,"G-20",42,1982,"02-JUL-1982 05:00PM",64,3.8,5.6,1,80,962,4.3042,0.5,2.574
57.00233,-170.1805,"G-21",42,1982,"08-JUL-1982 11:00AM",66,4.7,5.9,19,106,4320,4.2856,0.5,2.667
57.01167,-170.78833,"G-22",42,1982,"08-JUL-1982 02:00PM",97,3.9,6.5,1,80,987,4.8011,0.5,2.834
56.9805,-171.40833,"G-23",61,1982,"09-JUL-1982 10:00AM",110,3.7,6.2,19,106,4325,4.8873,0.5,2.926
57.01617,-171.9675,"G-24",61,1982,"09-JUL-1982 09:00AM",119,3.8,6.5,1,80,992,4.5914,0.5,2.685
57.01583,-172.69083,"G-25",61,1982,"18-JUL-1982 11:00AM",121,3.8,7,19,106,4345,3.8539,0.5,2.259
57.0305,-173.2815,"G-26",61,1982,"18-JUL-1982 08:00AM",139,4.1,7.3,19,106,4344,4.4544,0.5,2.611
56.85233,-168.64883,"GF1918",32,1982,"01-JUL-1982 07:00AM",97,2.8,6.4,1,80,952,4.0775,0.5,2.408
56.82833,-169.31933,"GF2019",32,1982,"02-JUL-1982 03:00PM",77,3.4,4.4,19,106,4293,4.5004,0.5,2.797
56.842,-169.92817,"GF2120",42,1982,"02-JUL-1982 01:00PM",73,4.5,5.8,1,80,960,4.4005,0.5,2.63
56.8525,-170.44867,"GF2221",42,1982,"08-JUL-1982 01:00PM",97,3.7,6.3,19,106,4321,4.6265,0.5,2.815
57.37183,-167.739,"H-01",31,1982,"30-JUN-1982 09:00PM",71,3,7.5,19,106,4285,5.0321,0.5,3.074
57.34333,-167.135,"H-02",31,1982,"29-JUN-1982 12:00PM",73,2.5,6.1,1,80,943,4.3979,0.5,2.63
57.31067,-166.48033,"H-03",31,1982,"27-JUN-1982 01:00PM",68,2.1,6,19,106,4268,4.7323,0.5,2.945
57.34667,-165.87667,"H-04",31,1982,"17-JUN-1982 11:00AM",71,0.8,5.5,1,80,915,4.2355,0.5,2.537
57.35033,-165.249,"H-05",31,1982,"20-JUN-1982 09:00AM",68,0,5.4,19,106,4253,4.1667,0.5,2.593
57.325,-164.61667,"H-06",31,1982,"14-JUN-1982 06:00AM",70,0.5,4,1,80,901,4.428,0.5,2.648
57.31867,-163.99383,"H-07",31,1982,"17-JUN-1982 08:00PM",62,-0.9,6.5,19,106,4239,4.4334,0.5,2.759
57.345,-163.4,"H-08",10,1982,"11-JUN-1982 09:00AM",57,0.3,2.9,1,80,887,4.3845,0.5,2.667
57.34417,-162.767,"H-09",10,1982,"15-JUN-1982 05:00PM",48,0.7,4.1,19,106,4226,5.0835,0.5,3.278
57.335,-162.15333,"H-10",10,1982,"09-JUN-1982 07:00AM",53,0.5,1.6,1,80,878,4.567,0.5,2.778
57.33217,-161.57967,"H-11",31,1982,"14-JUN-1982 03:00PM",55,0.2,5.5,19,106,4218,4.7323,0.5,2.945
57.345,-160.94,"H-12",31,1982,"07-JUN-1982 09:00AM",66,0.6,2.4,1,80,870,4.5708,0.5,2.759
57.31517,-160.29783,"H-13",31,1982,"01-JUN-1982 02:00PM",60,0.1,0.2,19,106,4210,4.444,0.5,2.704
57.31667,-159.66333,"H-14",10,1982,"05-JUN-1982 01:00PM",59,0.6,1.8,1,80,863,4.1412,0.5,2.519
57.33917,-159.08733,"H-15",10,1982,"31-MAY-1982 03:00PM",46,0.6,1.3,19,106,4205,4.7918,0.5,2.982
57.33833,-158.41,"H-16",10,1982,"29-MAY-1982 01:00PM",29,0.5,2.4,1,80,859,4.3845,0.5,2.667
57.34217,-168.38783,"H-18",32,1982,"30-JUN-1982 12:00PM",77,3.4,7.3,1,80,949,4.6164,0.5,2.759
57.31483,-169.022,"H-19",42,1982,"03-JUL-1982 12:00PM",71,3.7,6.5,19,106,4296,3.7985,0.5,2.352
57.31667,-169.60833,"H-20",42,1982,"03-JUL-1982 11:00AM",62,2.2,4.3,1,80,964,4.8103,0.5,2.926
57.357,-170.28,"H-21",42,1982,"07-JUL-1982 01:00PM",57,5,6.3,19,106,4319,4.0767,0.5,2.537
57.365,-170.87167,"H-22",42,1982,"08-JUL-1982 11:00AM",86,3.8,6.5,1,80,986,4.336,0.5,2.593
57.31417,-171.45967,"H-23",41,1982,"09-JUL-1982 12:00PM",101,3.4,7,19,106,4326,5.2954,0.5,3.222
57.325,-172.09417,"H-24",61,1982,"09-JUL-1982 01:00PM",112,3.7,6.6,1,80,993,4.7423,0.5,2.778
57.3195,-172.72033,"H-25",61,1982,"18-JUL-1982 01:00PM",113,4.2,7.4,19,106,4346,4.4458,0.5,2.63
57.3425,-173.27,"H-26",61,1982,"18-JUL-1982 04:00PM",119,NA,7.1,19,106,4347,5.291,0.5,3.13
57.17667,-168.62167,"HG1918",32,1982,"30-JUN-1982 03:00PM",79,3.4,8.9,1,80,950,4.3755,0.5,2.611
57.14733,-169.33217,"HG2019",42,1982,"03-JUL-1982 10:00AM",71,3.5,5.1,19,106,4295,3.2286,0.5,2.037
57.142,-169.90583,"HG2120",42,1982,"03-JUL-1982 08:00AM",46,4.4,4.6,1,80,963,4.2514,0.5,2.648
57.68383,-167.759,"I-01",31,1982,"30-JUN-1982 06:00PM",68,3.2,6.5,19,106,4284,5.1653,0.5,3.093
